Date,VIX,VXX
1990-01-02,17.239999771,
1990-01-03,18.190000534,
1990-01-04,19.219999313,
1990-01-05,20.11000061,
1990-01-08,20.260000229,
1990-01-09,22.200000763,
1990-01-10,22.440000534,
1990-01-11,20.049999237,
1990-01-12,24.63999939,
1990-01-15,26.340000153,
1990-01-16,24.180000305,
1990-01-17,24.159999847,
1990-01-18,24.340000153,
1990-01-19,22.5,
1990-01-22,26.700000763,
1990-01-23,24.719999313,
1990-01-24,25.38999939,
1990-01-25,25.629999161,
1990-01-26,26.280000687,
1990-01-29,26.440000534,
1990-01-30,27.25,
1990-01-31,25.36000061,
1990-02-01,24.870000839,
1990-02-02,24.319999695,
1990-02-05,24.540000916,
1990-02-06,24.690000534,
1990-02-07,24.290000916,
1990-02-08,23.770000458,
1990-02-09,23.690000534,
1990-02-12,24.379999161,
1990-02-13,23.760000229,
1990-02-14,22.049999237,
1990-02-15,19.709999084,
1990-02-16,20.780000687,
1990-02-20,22.780000687,
1990-02-21,23.88999939,
1990-02-22,22.540000916,
1990-02-23,23.690000534,
1990-02-26,23.559999466,
1990-02-27,22.690000534,
1990-02-28,21.989999771,
1990-03-01,21.899999619,
1990-03-02,21.340000153,
1990-03-05,22.030000687,
1990-03-06,20.549999237,
1990-03-07,19.100000381,
1990-03-08,19.739999771,
1990-03-09,20.299999237,
1990-03-12,20.069999695,
1990-03-13,21.049999237,
1990-03-14,19.649999619,
1990-03-15,18.809999466,
1990-03-16,17.620000839,
1990-03-19,18.290000916,
1990-03-20,19.059999466,
1990-03-21,20.100000381,
1990-03-22,22.739999771,
1990-03-23,20.459999084,
1990-03-26,19.590000153,
1990-03-27,21.010000229,
1990-03-28,19.770000458,
1990-03-29,18.459999084,
1990-03-30,19.729999542,
1990-04-02,22.840000153,
1990-04-03,20.440000534,
1990-04-04,22.030000687,
1990-04-05,21.209999084,
1990-04-06,21.760000229,
1990-04-09,22.299999237,
1990-04-10,21.690000534,
1990-04-11,17.729999542,
1990-04-12,19.799999237,
1990-04-16,20.75,
1990-04-17,20.379999161,
1990-04-18,22.670000076,
1990-04-19,22.459999084,
1990-04-20,23.329999924,
1990-04-23,24.159999847,
1990-04-24,21.700000763,
1990-04-25,20.86000061,
1990-04-26,20.25,
1990-04-27,22.190000534,
1990-04-30,19.520000458,
1990-05-01,18.430000305,
1990-05-02,19.319999695,
1990-05-03,17.809999466,
1990-05-04,17.280000687,
1990-05-07,17.649999619,
1990-05-08,18.489999771,
1990-05-09,18.63999939,
1990-05-10,18.590000153,
1990-05-11,19.809999466,
1990-05-14,20.13999939,
1990-05-15,19.489999771,
1990-05-16,17.709999084,
1990-05-17,17.270000458,
1990-05-18,17.200000763,
1990-05-21,16.719999313,
1990-05-22,17.840000153,
1990-05-23,17.180000305,
1990-05-24,17.700000763,
1990-05-25,17.319999695,
1990-05-29,18.75,
1990-05-30,17.440000534,
1990-05-31,17.370000839,
1990-06-01,17.090000153,
1990-06-04,18.38999939,
1990-06-05,18.969999313,
1990-06-06,17.420000076,
1990-06-07,16.879999161,
1990-06-08,17.579999924,
1990-06-11,16.340000153,
1990-06-12,16.600000381,
1990-06-13,17.379999161,
1990-06-14,17.399999619,
1990-06-15,15.899999619,
1990-06-18,17.709999084,
1990-06-19,15.229999542,
1990-06-20,15.270000458,
1990-06-21,14.720000267,
1990-06-22,19.36000061,
1990-06-25,17.059999466,
1990-06-26,16.290000916,
1990-06-27,16.0,
1990-06-28,16.180000305,
1990-06-29,15.5,
1990-07-02,16.260000229,
1990-07-03,16.11000061,
1990-07-05,17.25,
1990-07-06,16.409999847,
1990-07-09,16.659999847,
1990-07-10,16.920000076,
1990-07-11,16.680000305,
1990-07-12,17.059999466,
1990-07-13,17.090000153,
1990-07-16,16.75,
1990-07-17,16.659999847,
1990-07-18,18.899999619,
1990-07-19,18.559999466,
1990-07-20,15.630000114,
1990-07-23,23.680000305,
1990-07-24,21.790000916,
1990-07-25,20.190000534,
1990-07-26,20.260000229,
1990-07-27,21.120000839,
1990-07-30,21.159999847,
1990-07-31,21.11000061,
1990-08-01,21.63999939,
1990-08-02,20.430000305,
1990-08-03,28.739999771,
1990-08-06,35.909999847,
1990-08-07,32.75,
1990-08-08,28.270000458,
1990-08-09,24.38999939,
1990-08-10,25.75,
1990-08-13,25.739999771,
1990-08-14,24.180000305,
1990-08-15,23.309999466,
1990-08-16,27.159999847,
1990-08-17,27.530000687,
1990-08-20,26.459999084,
1990-08-21,28.899999619,
1990-08-22,30.549999237,
1990-08-23,36.470001221,
1990-08-24,33.930000305,
1990-08-27,29.629999161,
1990-08-28,29.120000839,
1990-08-29,27.379999161,
1990-08-30,29.88999939,
1990-08-31,29.899999619,
1990-09-04,29.579999924,
1990-09-05,28.520000458,
1990-09-06,30.190000534,
1990-09-07,28.729999542,
1990-09-10,29.340000153,
1990-09-11,28.379999161,
1990-09-12,28.120000839,
1990-09-13,29.329999924,
1990-09-14,30.559999466,
1990-09-17,29.549999237,
1990-09-18,28.819999695,
1990-09-19,27.879999161,
1990-09-20,28.659999847,
1990-09-21,30.040000916,
1990-09-24,30.559999466,
1990-09-25,28.809999466,
1990-09-26,28.190000534,
1990-09-27,28.670000076,
1990-09-28,29.11000061,
1990-10-01,28.059999466,
1990-10-02,27.280000687,
1990-10-03,27.899999619,
1990-10-04,27.510000229,
1990-10-05,27.850000381,
1990-10-08,28.040000916,
1990-10-09,30.709999084,
1990-10-10,31.190000534,
1990-10-11,33.979999542,
1990-10-12,31.940000534,
1990-10-15,31.63999939,
1990-10-16,31.450000763,
1990-10-17,31.370000839,
1990-10-18,29.600000381,
1990-10-19,27.86000061,
1990-10-22,27.270000458,
1990-10-23,27.569999695,
1990-10-24,28.280000687,
1990-10-25,29.040000916,
1990-10-26,30.75,
1990-10-29,31.540000916,
1990-10-30,30.520000458,
1990-10-31,30.040000916,
1990-11-01,30.25,
1990-11-02,30.030000687,
1990-11-05,29.850000381,
1990-11-06,29.11000061,
1990-11-07,30.870000839,
1990-11-08,30.790000916,
1990-11-09,26.959999084,
1990-11-12,25.600000381,
1990-11-13,24.579999924,
1990-11-14,22.88999939,
1990-11-15,22.569999695,
1990-11-16,21.340000153,
1990-11-19,20.950000763,
1990-11-20,20.090000153,
1990-11-21,21.090000153,
1990-11-23,20.979999542,
1990-11-26,22.760000229,
1990-11-27,22.86000061,
1990-11-28,22.959999084,
1990-11-29,23.909999847,
1990-11-30,22.159999847,
1990-12-03,22.290000916,
1990-12-04,22.030000687,
1990-12-05,20.940000534,
1990-12-06,22.620000839,
1990-12-07,22.590000153,
1990-12-10,23.579999924,
1990-12-11,23.75,
1990-12-12,21.280000687,
1990-12-13,23.049999237,
1990-12-14,23.850000381,
1990-12-17,24.850000381,
1990-12-18,23.11000061,
1990-12-19,23.079999924,
1990-12-20,23.129999161,
1990-12-21,22.659999847,
1990-12-24,24.030000687,
1990-12-26,24.180000305,
1990-12-27,24.809999466,
1990-12-28,25.049999237,
1990-12-31,26.379999161,
1991-01-02,26.620000839,
1991-01-03,27.930000305,
1991-01-04,27.190000534,
1991-01-07,28.950000763,
1991-01-08,30.379999161,
1991-01-09,33.299999237,
1991-01-10,31.329999924,
1991-01-11,32.630001068,
1991-01-14,36.200000763,
1991-01-15,36.159999847,
1991-01-16,33.200000763,
1991-01-17,27.450000763,
1991-01-18,25.38999939,
1991-01-21,24.329999924,
1991-01-22,24.899999619,
1991-01-23,23.920000076,
1991-01-24,22.86000061,
1991-01-25,22.200000763,
1991-01-28,23.049999237,
1991-01-29,23.170000076,
1991-01-30,21.370000839,
1991-01-31,20.909999847,
1991-02-01,21.040000916,
1991-02-04,21.86000061,
1991-02-05,21.459999084,
1991-02-06,22.680000305,
1991-02-07,23.600000381,
1991-02-08,23.379999161,
1991-02-11,22.559999466,
